Respondent ID,Category,Question,Response,Race,Gender,Province,Occupation,Demography
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of property and lively hoods,White,Male,Western Cape,"a.	Firefighter (general)","White | Male | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,threats to life and property,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Damage to property,,Female,Western Cape,"a.	Firefighter (general)","nan | Female | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,"Societal disruption, loss of lives, injuries, displacement.",White,Male,Western Cape,"a.	Firefighter (general)","Caucasian | Male | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Property damage,,,Western Cape,"a.	Firefighter (general)","nan | nan | Western Cape | a.	Firefighter (general)"
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,loss of life,White,Male,KwaZulu Natal,,White | Male | KwaZulu Natal | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,loss of live,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,"habitat destruction, not allowing indigenous plants time to develop enough to seed so alien vegetation moves in",White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of life and livelihoods,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Ecological Damage,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of life,White,Male,Western Cape,"a.	Firefighter (general)","White | Male | Western Cape | a.	Firefighter (general)"
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Too frequent fires will affect Biodiversity,South African,Female,Western Cape,,South African  | Female | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Ecological damage,,,,,nan | nan | nan | nan
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,building damage especially along the urban fringe,,Male,Western Cape,"a.	Firefighter (general)","nan | Male | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Too frequent therefore loss of habitat,White,Female,Western Cape,,White | Female | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Unhealthy ecology,,,Western Cape,,nan | nan | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Distruction of properties (houses),,Male,Western Cape,,nan | Male | Western Cape | nan
1.14367E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Property damage,White,Female,Western Cape,,White | Female | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of lives,Coloured,Male,Western Cape,,Coloured | Male | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,social impact: loss of lives/social disruptuon,White,Male,Limpopo,"a.	Firefighter (general)","caucasian | Male | Limpopo | a.	Firefighter (general)"
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,threats/damage to human infrastructure and settlements,,,Western Cape,,nan | nan | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of Earnings,White,Male,KwaZulu Natal,,White | Male | KwaZulu Natal | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Polution,White,Male,Western Cape,"a.	Firefighter (general)","White | Male | Western Cape | a.	Firefighter (general)"
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Damage to infrastructure,,,Western Cape,,nan | nan | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Damage to large indigenous trees caused by very hot fires,White,Male,North West,,White | Male | North West | nan
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Damage to infrastructure,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Unnecessary damage to natural environment,White,Male,Western Cape,"a.	Firefighter (general)","White | Male | Western Cape | a.	Firefighter (general)"
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Costs incurred,White,Female,Western Cape,,White | Female | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of biodiversity and indigenous species.,,,Western Cape,,nan | nan | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Biodiversity loss,White,Male,Western Cape,"a.	Firefighter (general)","White | Male  | Western Cape | a.	Firefighter (general)"
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Biodiversity loss,White,Male,Western Cape,,White | M | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,loss of grazing,White,Male,Northern Cape,,White | Male | Northern Cape | nan
1.14375E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of human life,Black,Male,Western Cape,,Black | Male | Western Cape | nan
1.14374E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,rangelands burning before the right time (veld age),White,Female,Western Cape,,White | Female | Western Cape | nan
1.14372E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,remove vegetation which makes area prone to land invasion,,Female,Western Cape,,nan | Female | Western Cape | nan
1.14371E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Fatalaties,Human,Male,Gauteng,,Human | Male | Gauteng | nan
1.14371E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Too frequent fires change the fire cycle of natural vegetation,,,Western Cape,,nan | nan | Western Cape | nan
1.14371E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Infrastructure damage,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14371E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Habitat loss due to many frequent fires,African,Male,Western Cape,,African | Male | Western Cape | nan
1.1437E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,To frequent fires cause damaged the eco system,White,Male,Mpumalanga,,White | Male | Mpumalanga | nan
1.1437E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Environmental deterioration,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14369E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,death of wild animals,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14369E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,loss of life,White,Female,Western Cape,,White | Female | Western Cape | nan
1.14369E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of bio-diversity,,,Western Cape,,nan | nan | Western Cape | nan
1.14369E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,DEGRADING OF NATURAL VELD/ GRAZING,White,Male,North West,,White | Male | North West | nan
1.14369E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of wild animals,Black,Male,Western Cape,,Black | Male | Western Cape | nan
1.14369E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,To frequent fire regimes in the fynbos ecosystem,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14369E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Damage and loss,White,,Mpumalanga,,White | nan | Mpumalanga | nan
1.14368E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Killing animals,White,Female,KwaZulu Natal,,White | Female | KwaZulu Natal | nan
1.14368E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Lost of life,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14368E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,reduced biodiversity,White,Male,Limpopo,,White | Male | Limpopo | nan
1.14367E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,too frequent and out of season fires affecting biodiversity negatively,African,Female,Western Cape,,African | Female | Western Cape | nan
1.14367E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,loss of human life,White,Male,Eastern Cape,,White | Male | Eastern Cape | nan
1.14367E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Destruction of habitat ( fires too regular),White,Male,Western Cape,,Caucasian | Male | Western Cape | nan
1.14367E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Damage to indigenous flora and forna,White,Male,Mpumalanga,,European | Male | Mpumalanga | nan
1.14367E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of life and infrastructure,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14367E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Compromise of fire regime in watersheds,,Male,Western Cape,,nan | m | Western Cape | nan
1.14367E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of Life,,Male,Western Cape,"a.	Firefighter (general)","nan | Male | Western Cape | a.	Firefighter (general)"
1.14367E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of life,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14367E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of human lives,,,North West,,nan | nan | North West | nan
1.14367E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Devastation of grazing land for farming purposes,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14367E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of life,White,Male,North West,,White | Male | North West | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Erosion,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,destruction of livelyhood,White,Male,Mpumalanga,"a.	Firefighter (general)","w | m | Mpumalanga | a.	Firefighter (general)"
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Destruction of lives,White,Male,KwaZulu Natal,,European | Male | KwaZulu Natal | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,habitat modification,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Ecological damage,White,Male,Western Cape,,Caucasion | Male | Western Cape | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Potential property damage,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of life,,,Mpumalanga,,nan | nan | Mpumalanga | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Damage to trees,White,Male,Gauteng,,White | Male | Gauteng | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,destruction of fynbos / indigenous vegetation,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Damage to property,White,Male,Western Cape,"a.	Firefighter (general)","White | Male | Western Cape | a.	Firefighter (general)"
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Destroying of infrastructure,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Destruction of pristine environments,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14362E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of species,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,Loss of lifes,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14366E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,"Loss of live, stock and environment",White,Female,Gauteng,,White | Female | Gauteng | nan
1.14362E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,loss of life,White,Male,Eastern Cape,,White | Male | Eastern Cape | nan
1.14362E+11,Review and Analysis,What are the three most unwanted effects of wildland fires in South Africa?,,,,,,nan | nan | nan | nan
1.14379E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Firebreaks,,,Western Cape,,nan | nan | Western Cape | nan
1.14379E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Habitat regeneration,White,Male,Free State,,European | Male | Free State | nan
1.14379E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Indigenous plant propagation,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14372E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Fuel load management,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14379E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Alien vegetation being eradicated.,White,Male,Western Cape,,White | Male  | Western Cape | nan
1.14378E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Maintaining natural (desirable) fire regimes,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14377E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Biodiversity - in fire driven ecosystems (fynbos),White,Male,Western Cape,,White | Male | Western Cape | nan
1.14377E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Improvement of biodiversity,White,Male,Mpumalanga,,Caucasian | Male | Mpumalanga | nan
1.14377E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Veld management,White,Male,Western Cape,"a.	Firefighter (general)","White | Male | Western Cape | a.	Firefighter (general)"
1.14377E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Fire breakes,,,Western Cape,,nan | nan | Western Cape | nan
1.14377E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,regeneration of fynbos,White,Male,Western Cape,"a.	Firefighter (general)","White African | Male | Western Cape | a.	Firefighter (general)"
1.14377E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Regeneration of biodiversity in fire driver systems,White,Male,Western Cape,"a.	Firefighter (general)","White | Male | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Prevent destructive wildfire,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Causing regrown of old areas,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Wildfires enrich the soil,,Male,Western Cape,"a.	Firefighter (general)","nan | Male | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Fuel load / Risk reduction,White,Male,Eastern Cape,,White | Male | Eastern Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,removal of senescent biomass - reduction of fuel load,White,Male,Western Cape,,European descent | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Increase in biodiversity,White,Female,Western Cape,,Caucasian | Female | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Management of veld age for biodiversity protection,White,Female,Western Cape,,White | Female | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Assist in developing a healthy ecosystem,White,Male,Western Cape,,w | m | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,rejuvenation of indigenous vegetation,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Fuel & Risk Reduction,,Male,Eastern Cape,,nan | Male | Eastern Cape | nan
1.14366E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Helps to maintain biodiversity,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Promoting biodiversity integrity,,Male,Western Cape,"a.	Firefighter (general)","nan | Male | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Fuel load management,,,Western Cape,,nan | nan | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Burning for ecological biodiversity,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Regermination of indigenous vegetation,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Restore natural mosaic of veld age,White,Male,Western Cape,,caucasian | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,"Part of fire regime, fynbos need fire",White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,To promote eco systems,White,Male,Western Cape,"a.	Firefighter (general)","White | Male | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,improved natural vegetation bio-diversity if applied properly,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Seed stimulation and germination,,Female,Western Cape,"a.	Firefighter (general)","nan | Female | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Ecological system and biodiversity stimulation and management.,White,Male,Western Cape,"a.	Firefighter (general)","Caucasian | Male | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Seed germination,,,Western Cape,"a.	Firefighter (general)","nan | nan | Western Cape | a.	Firefighter (general)"
1.14366E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,protection of property,White,Male,KwaZulu Natal,,White | Male | KwaZulu Natal | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Improved biodivercity,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,fynbos is a fire dependant ecology for regeneration,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Prescribed burning for wildfire protection,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Fuel Reduction / Risk reduction,White,Male,Western Cape,,White | Male | Western Cape | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Ecological processes (critical driving force in may ecosystems),White,Male,Western Cape,"a.	Firefighter (general)","White | Male | Western Cape | a.	Firefighter (general)"
1.14366E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Optimal Fire regime for specific fire driven vegetation types,South African,Female,Western Cape,,South African  | Female | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Water security,,,,,nan | nan | nan | nan
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,helps fynbos to reproduce,,Male,Western Cape,"a.	Firefighter (general)","nan | Male | Western Cape | a.	Firefighter (general)"
1.14376E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Trigger seed growth,White,Female,Western Cape,,White | Female | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Catastrophic wildfire damage mitigation,,,Western Cape,,nan | nan | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Mosiac - Different veld age,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14367E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Many plants in our region are adapted to survive in environments with fire and some even depend on fire to help them grow and disperse.,White,Female,Western Cape,,White | Female | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Ecological processes enablement,Coloured,Male,Western Cape,,Coloured | Male | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,"in fynbos for example, fires lead to plants releasing seeds and germinating",White,Male,Limpopo,"a.	Firefighter (general)","caucasian | Male | Limpopo | a.	Firefighter (general)"
1.14375E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,can protect human settlements and infrastructure.,,,Western Cape,,nan | nan | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Fuel load reduction,White,Male,KwaZulu Natal,,White | Male | KwaZulu Natal | nan
1.14366E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Promote re-growth of fine-bos,White,Male,Western Cape,"a.	Firefighter (general)","White | Male | Western Cape | a.	Firefighter (general)"
1.14375E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Regeneration of vegetation,,,Western Cape,,nan | nan | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Mimic natural burn cycles which regulate vegetation types.,White,Male,North West,,White | Male | North West | nan
1.14375E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Rejuvenation of fire-dependent vegetation,,Male,Western Cape,,nan | Male | Western Cape | nan
1.14375E+11,Review and Analysis,What are the three most desirable effects of wildland fire or prescribed fire in South Africa?,Restoration of natural habitat,White,Male,Western Cape,"a.	Firefighter (general)","White | Male | Western Cape | a.	Firefighter (general)"
